,Compound Score,Negative Score,Neutral Score,Positive Score,Source Account,Tweet Date,Tweet Text
0,0.5719,0.0,0.773,0.227,BBC Breaking News,Fri Sep 28 18:04:12 +0000 2018,Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https://t.co/KKe4X2DRQA
1,0.34,0.0,0.902,0.098,BBC Breaking News,Fri Sep 28 17:44:43 +0000 2018,"Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to d… https://t.co/naGAXzvkxG"
2,0.0,0.0,1.0,0.0,BBC Breaking News,Fri Sep 28 17:08:56 +0000 2018,"50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://t.co/GL3MyqXgHF"
3,-0.296,0.128,0.872,0.0,BBC Breaking News,Fri Sep 28 15:55:27 +0000 2018,"Officers searching for missing Worcester student Thomas Jones, 18, find a body in the River Severn https://t.co/Zj8Ug65gr0"
4,0.0,0.0,1.0,0.0,BBC Breaking News,Fri Sep 28 12:54:18 +0000 2018,Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm
5,-0.743,0.283,0.717,0.0,BBC Breaking News,Fri Sep 28 09:46:20 +0000 2018,"Pret a Manger’s allergy labelling was inadequate, says coroner in case of girl who died after eating a baguette https://t.co/93qasWccnJ"
6,-0.5859,0.283,0.613,0.104,BBC Breaking News,Thu Sep 27 20:29:32 +0000 2018,Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G
7,0.0352,0.144,0.706,0.15,BBC Breaking News,Thu Sep 27 19:18:04 +0000 2018,"""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reac… https://t.co/bH7othXr2Q"
8,0.0258,0.0,0.942,0.058,BBC Breaking News,Thu Sep 27 15:14:06 +0000 2018,"RT @BBCSport: The proposed £600m sale of Wembley Stadium has been unanimously backed by the Football Association's board.

https://t.co/6sX…"
9,-0.6395,0.199,0.801,0.0,BBC Breaking News,Thu Sep 27 14:40:05 +0000 2018,"""I am here today not because I want to be. I am terrified. I am here because I believe it is my civic duty to tell… https://t.co/1mIY5lYWdC"
10,-0.7351,0.279,0.721,0.0,BBC Breaking News,Wed Sep 26 16:32:23 +0000 2018,The real identity of one of the Salisbury Novichock poisoning suspects is revealed by an investigative website https://t.co/5ySt719D3g
11,0.0,0.0,1.0,0.0,BBC Breaking News,Wed Sep 26 14:55:12 +0000 2018,"China has been attempting to interfere in the mid-term elections in November, President Trump tells UN https://t.co/FkYVJlPMaW"
12,-0.0258,0.111,0.783,0.106,BBC Breaking News,Wed Sep 26 13:08:57 +0000 2018,"Suspects in the 1974 Birmingham pub bombings will not be named at fresh inquests, the appeal court rules https://t.co/RqzM3HkGfz"
13,-0.8271,0.312,0.688,0.0,BBC Breaking News,Tue Sep 25 18:13:58 +0000 2018,"""Sexually violent predator"" Bill Cosby given three to 10-year jail term for drugging and molesting a woman in 2004 https://t.co/vNPK6YmTfA"
14,0.4215,0.0,0.877,0.123,BBC Breaking News,Tue Sep 25 14:50:14 +0000 2018,"""Stronger, safer, richer"": Donald Trump tells UN he has done more in under two years than almost any prior president https://t.co/coDul33Afk"
15,0.0,0.0,1.0,0.0,BBC Breaking News,Mon Sep 24 17:24:24 +0000 2018,"Amid concerns about his job, Trump-Russia probe chief Rod Rosenstein has ""extended conversation"" with President Tru… https://t.co/IAXR7JSl1Y"
16,0.0,0.0,1.0,0.0,BBC Breaking News,Mon Sep 24 15:11:09 +0000 2018,"Rod Rosenstein, the man overseeing Trump-Russia probe, en route to White House amid reports he will offer to quit https://t.co/3kxi0m3UId"
17,0.8395,0.0,0.715,0.285,BBC Breaking News,Sat Sep 22 21:46:29 +0000 2018,"RT @BBCSport: Anthony Joshua wins! 🥊

He’s won by knockout in round 7!

AJ retains his heavyweight titles. 

Live reaction https://t.co/e2u…"
18,0.2263,0.0,0.899,0.101,BBC Breaking News,Sat Sep 22 20:09:28 +0000 2018,"Labour should be prepared to back demands for a new Brexit referendum, deputy leader Tom Watson has said. https://t.co/x9EOYEtffe"
19,-0.0258,0.212,0.579,0.208,BBC Breaking News,Sat Sep 22 18:48:42 +0000 2018,The woman accusing Supreme Court nominee Brett Kavanaugh of sexual assault agrees to testify against him next week https://t.co/W5RTtIVAwN
20,0.5719,0.0,0.773,0.227,BBC Breaking News,Fri Sep 28 18:04:12 +0000 2018,Brett Kavanaugh's nomination to US Supreme Court backed by Senate committee as discussions continue over FBI inquiry https://t.co/KKe4X2DRQA
21,0.34,0.0,0.902,0.098,BBC Breaking News,Fri Sep 28 17:44:43 +0000 2018,"Facebook says the security flaw has been fixed and it has informed police. In a statement it says ""we have yet to d… https://t.co/naGAXzvkxG"
22,0.0,0.0,1.0,0.0,BBC Breaking News,Fri Sep 28 17:08:56 +0000 2018,"50 million Facebook accounts compromised, the social network says - in all, 90m accounts will have to take action https://t.co/GL3MyqXgHF"
23,-0.296,0.128,0.872,0.0,BBC Breaking News,Fri Sep 28 15:55:27 +0000 2018,"Officers searching for missing Worcester student Thomas Jones, 18, find a body in the River Severn https://t.co/Zj8Ug65gr0"
24,0.0,0.0,1.0,0.0,BBC Breaking News,Fri Sep 28 12:54:18 +0000 2018,Danish police seal off bridges and ferries to Sweden and Germany in a major operation https://t.co/uvVH4ANjHm
25,-0.743,0.283,0.717,0.0,BBC Breaking News,Fri Sep 28 09:46:20 +0000 2018,"Pret a Manger’s allergy labelling was inadequate, says coroner in case of girl who died after eating a baguette https://t.co/93qasWccnJ"
26,-0.5859,0.283,0.613,0.104,BBC Breaking News,Thu Sep 27 20:29:32 +0000 2018,Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G
27,0.0352,0.144,0.706,0.15,BBC Breaking News,Thu Sep 27 19:18:04 +0000 2018,"""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reac… https://t.co/bH7othXr2Q"
28,0.0258,0.0,0.942,0.058,BBC Breaking News,Thu Sep 27 15:14:06 +0000 2018,"RT @BBCSport: The proposed £600m sale of Wembley Stadium has been unanimously backed by the Football Association's board.

https://t.co/6sX…"
29,-0.6395,0.199,0.801,0.0,BBC Breaking News,Thu Sep 27 14:40:05 +0000 2018,"""I am here today not because I want to be. I am terrified. I am here because I believe it is my civic duty to tell… https://t.co/1mIY5lYWdC"
30,-0.7351,0.279,0.721,0.0,BBC Breaking News,Wed Sep 26 16:32:23 +0000 2018,The real identity of one of the Salisbury Novichock poisoning suspects is revealed by an investigative website https://t.co/5ySt719D3g
31,0.0,0.0,1.0,0.0,BBC Breaking News,Wed Sep 26 14:55:12 +0000 2018,"China has been attempting to interfere in the mid-term elections in November, President Trump tells UN https://t.co/FkYVJlPMaW"
